timestamp,x,y,z
1732085247499972500,39.35180363340588,-3.164978923066723,0.137
1732085247624972500,39.35819570102608,-3.103813889192203,0.134
1732085247749972501,39.33589434165512,-3.0410686550873773,0.14
1732085247874972502,39.31359298134985,-2.978323418235366,0.133
1732085247999972503,39.31255126184115,-2.896243307186582,0.13
1732085248124972503,39.3106178166988,-2.838037384644263,0.13
1732085248249972503,39.296641970342264,-2.772333037614578,0.13
1732085248374972504,39.283557843033066,-2.6827544996554824,0.128
1732085248499972504,39.2741906125581,-2.603633498188641,0.126
1732085248624972505,39.26571510393497,-2.500638307830732,0.123
1732085248749972506,39.26556510574648,-2.3946840064882498,0.116
1732085248874972506,39.27284889521927,-2.309644780621051,0.112
1732085248999972508,39.28013268201878,-2.22460555672958,0.128
1732085249124972507,39.276265787238884,-2.1081937147390057,0.116
1732085249249972508,39.28815819137688,-2.00973783799701,0.115
1732085249374972508,39.2796826788264,-1.906742649127679,0.113
1732085249499972509,39.29618369740713,-1.7948701214882732,0.107
1732085249624972510,39.320118499879406,-1.7039126723571183,0.114
1732085249749972510,39.33290262216812,-1.581582605988043,0.104
1732085249874972511,39.353120528912434,-1.4801676187689647,0.114
1732085249999972512,39.365904648180226,-1.357837552047716,0.112
1732085250124972512,39.38612255227765,-1.2564225643346916,0.128
1732085250249972512,39.407232178385286,-1.1311333861733868,0.123
1732085250374972513,39.43205869491351,-1.0163017478977636,0.126
1732085250499972513,39.45688521196433,-0.9014701084615826,0.136
1732085250624972514,39.46134381309435,-0.7820991555376722,0.143
1732085250749972514,39.49449583606954,-0.6643084039390015,0.147
1732085250874972515,39.52764785678167,-0.5465176511661962,0.135
1732085250999972516,39.540431963116646,-0.4241875878496675,0.141
1732085251124972516,39.561541577459565,-0.2988984091212412,0.14
1732085251249972517,39.59469359390876,-0.18110765892669,0.141
1732085251374972517,39.620411816165436,-0.04240182985056329,0.129
1732085251499972517,39.64984693335674,0.08584646040917399,0.121
1732085251624972518,39.68299894395111,0.20363721137896285,0.124
1732085251749972519,39.70782544259511,0.3184688497202455,0.11
1732085251874972519,39.72893504700728,0.4437580267165302,0.107
1732085251999972521,39.76669566490609,0.5749654282308398,0.102
1732085252124972520,39.8044562777464,0.7061728303944417,0.107
1732085252249972521,39.82556587638745,0.831462007662978,0.104
1732085252374972521,39.85039236701913,0.9462936445714956,0.105
1732085252499972522,39.88815297631291,1.0775010467811086,0.092
1732085252624972522,39.9101542851027,1.2266644136274305,0.104
1732085252749972523,39.923830083682034,1.3728686646655088,0.105
1732085252874972523,39.94954828408105,1.5115744924402748,0.098
1732085252999972525,39.966940974314014,1.6473212054181907,0.098
1732085253124972524,39.98061676879829,1.7935254573851793,0.089
1732085253249972525,40.00633496325363,1.9322312839123796,0.088
1732085253374972525,40.019119037796344,2.0545613456162855,0.086
1732085253499972526,40.02818621770025,2.1873489442274945,0.088
1732085253624972527,40.04468718536522,2.299221467946646,0.097
1732085253749972527,40.06668847645213,2.4483848315586894,0.089
1732085253874972528,40.072038754378475,2.591629969792434,0.09
1732085253999972529,40.0773890292477,2.73487510537025,0.091
1732085254124972529,40.078130695846035,2.864703590978327,0.089
1732085254249972529,40.0871978638375,2.9974911885713853,0.097
1732085254374972530,40.10459053673341,3.1332379004534996,0.102
1732085254499972530,40.10161530040334,3.2735239228319557,0.102
1732085254624972531,40.09864006293073,3.413809944274731,0.102
1732085254749972531,40.09938172250771,3.54363842922133,0.104
1732085254874972532,40.10844888499794,3.6764260272210176,0.098
1732085254999972533,40.10086503640477,3.8032953966193794,0.097
1732085255124972533,40.089564289981745,3.9406223037260606,0.096
1732085255249972533,40.08198044116935,4.067491674549217,0.095
1732085255374972534,40.065179376219014,4.1675277421103285,0.093
1732085255499972535,40.054920395265796,4.222774544156692,0.094
1732085255624972535,40.02696863912979,4.354183224689365,0.087
1732085255749972536,39.98519106407908,4.445341951602321,0.079
1732085255874972536,39.958281075815464,4.494670529482512,0.073
1732085255999972538,39.91561178960077,4.561955066956891,0.078
1732085256124972537,39.905352810538155,4.617201870222477,0.08
1732085256249972538,39.88959351176128,4.635157831995414,0.076
1732085256374972538,39.86090010544001,4.636738032146477,0.102
1732085256499972539,39.85257460285638,4.63377891822376,0.126
1732085256624972539,39.84885770579857,4.644236456716641,0.127
1732085256749972539,39.844249099776555,4.630819805610162,0.137
1732085256874972540,39.8479659964077,4.62036226796082,0.146
1732085256999972541,39.85629149974761,4.6233213801703705,0.156
1732085257124972541,39.87294250541107,4.629239606706683,0.165
1732085257249972541,39.86833389922247,4.615822956039695,0.164
1732085257374972542,39.86461700249783,4.626280493653596,0.169
1732085257499972542,39.87294250541107,4.629239606706683,0.174
1732085257624972542,39.876659402399355,4.618782068679385,0.176
1732085257749972543,39.87294250541107,4.629239606706683,0.182
1732085257874972543,39.87294250541107,4.629239606706683,0.179
1732085257999972545,39.844249099776555,4.630819805610162,0.177
1732085258124972544,39.82388119688871,4.6353591180062175,0.181
1732085258249972545,39.79518779108762,4.636939317349185,0.187
1732085258374972545,39.75445198377137,4.6460179405628175,0.191
1732085258499972546,39.70539067512685,4.652137453313241,0.19
1732085258624972546,39.66465486991575,4.661216078308652,0.184
1732085258749972547,39.598942553848,4.661417364369079,0.183
1732085258874972547,39.54988124588203,4.667536877868621,0.19
1732085258999972549,39.48045203395164,4.678195702372305,0.183
1732085259124972548,39.411022824146855,4.688854529168143,0.185
1732085259249972549,39.34991911515257,4.70247246920394,0.183
1732085259374972550,39.272164400670086,4.710172184780365,0.18
1732085259499972550,39.190692793325454,4.7283294379375,0.178
1732085259624972551,39.11293807921234,4.736029155643045,0.18
1732085259749972551,39.03146647079002,4.754186409386271,0.184
1732085259874972552,38.94538625469054,4.758927016389862,0.186
1732085259999972553,38.85930603931868,4.763667623166615,0.187
1732085260124972553,38.781551328871714,4.771367344742798,0.187
1732085260249972554,38.68342871602488,4.78360637940262,0.188
