%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1733037972050684533,18521,1733037972050441026,map,0.16148493240528639,-4.220758682545466,1.2402276800345267,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972128154587,18522,1733037972127574443,map,0.14829503939770616,-4.228458542076978,1.168708180619882,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972228456719,18523,1733037972227909326,map,0.14789325327303252,-4.225993473026897,1.1496550450842307,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972328410755,18524,1733037972327765226,map,0.14073025304395695,-4.2203105083258485,1.1491495673436647,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972428602075,18525,1733037972428023576,map,0.13009765487290167,-4.214909841011581,1.1592068917430969,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972529277832,18526,1733037972528664827,map,0.12903098690524922,-4.214869915472115,1.1659422836696347,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972627732832,18527,1733037972627344131,map,0.12079501739925672,-4.21351588387037,1.178056949588021,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972729077321,18528,1733037972728401660,map,0.1202036909213505,-4.215102004451882,1.1811469251851945,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972827528138,18529,1733037972827002525,map,0.11043775469541385,-4.212950844735678,1.1905868887998807,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037972929181099,18530,1733037972928436994,map,0.12903735666302057,-4.218414337785653,1.2046274370794192,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973028754088,18531,1733037973028151273,map,0.14349869657790237,-4.219493709410068,1.2109082052338118,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973128436955,18532,1733037973127905845,map,0.15283801236469813,-4.222661367221652,1.2014524795472306,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973228006238,18533,1733037973227459907,map,0.14860595725466905,-4.221080524731061,1.1899357235760868,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973327637726,18534,1733037973327243328,map,0.15867074295963643,-4.220025354702739,1.1445707047420686,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973427407794,18535,1733037973427132368,map,0.18923708362224373,-4.216983379350809,1.1336846725949212,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973526957562,18536,1733037973526709556,map,0.24145619857945358,-4.214661942276743,1.130030369396777,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973627824347,18537,1733037973627474546,map,0.31483732354322297,-4.210806324263905,1.1435768545632583,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973727399664,18538,1733037973726907730,map,0.37232475290633077,-4.20647599713865,1.1048174490850584,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973829007765,18539,1733037973828380107,map,0.4089135105377512,-4.203752253269839,1.0783310497689573,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037973928887223,18540,1733037973928600549,map,0.42134772647194846,-4.203723381116911,1.0617036242358386,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974028436237,18541,1733037974027942419,map,0.45425075796682235,-4.206595022909847,1.0936028685838437,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974127487478,18542,1733037974127272129,map,0.5084581823971414,-4.206903911302378,1.1064700693693816,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974228553742,18543,1733037974228296995,map,0.5889552196482516,-4.2058780387634,1.10867610795413,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974327583651,18544,1733037974327064990,map,0.6581055266689644,-4.20094264056613,1.078974074114429,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974428215520,18545,1733037974427689313,map,0.7006909680780863,-4.2045349470098525,1.0787504455355947,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974527595514,18546,1733037974527278184,map,0.7462917954223941,-4.208925277966987,1.1061384455635463,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974629803014,18547,1733037974629173994,map,0.8031072209487916,-4.218398300590242,1.1514780928946078,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974727767101,18548,1733037974727258205,map,0.9034895550683436,-4.218996360715111,1.1494173638135345,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974828248388,18549,1733037974827613592,map,1.0043365916020974,-4.2187777863627005,1.144362986782942,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037974927553086,18550,1733037974926989555,map,1.1117886022249466,-4.213051420936111,1.1309012182481886,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037975028734952,18551,1733037975028245449,map,1.2052631592923826,-4.2115410627996965,1.1487257444517136,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037975127699432,18552,1733037975127366304,map,1.2979206079739238,-4.2107414467690285,1.1620612658942997,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037975229227663,18553,1733037975228650569,map,1.3906856678780843,-4.215081245332372,1.178651569502546,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037975328759769,18554,1733037975328520774,map,1.4606709287207,-4.220995721721983,1.2226330474757434,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037975429221866,18555,1733037975428634166,map,1.5253995208379896,-4.227937965345826,1.227336579171136,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037975528895434,18556,1733037975528426647,map,1.580106943257195,-4.240182401478647,1.22920154690429,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037975628034025,18557,1733037975627643108,map,1.6864344385345857,-4.245506817518484,1.1654561169537268,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
