%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732085361928750642,4785,1732085361928289175,map,12.51070328611288,-4.512120179361566,1.7648534768325783,0.0,0.0,0.0,1.0
1732085362028740854,4786,1732085362028363466,map,12.407577957239447,-4.539501051212668,1.7004430037444516,0.0,0.0,0.0,1.0
1732085362129264629,4787,1732085362128700971,map,12.317692805480803,-4.5169878715475065,1.5479130095596279,0.0,0.0,0.0,1.0
1732085362228845842,4788,1732085362228252649,map,12.225159725817365,-4.484749239306932,1.518147288566927,0.0,0.0,0.0,1.0
1732085362328141448,4789,1732085362327614068,map,12.13637678616421,-4.425710292818631,1.509359159880856,0.0,0.0,0.0,1.0
1732085362428592462,4790,1732085362428186655,map,12.055860139999961,-4.358316092059401,1.5782348154457042,0.0,0.0,0.0,1.0
1732085362528525881,4791,1732085362528226137,map,11.994524020189422,-4.2478772227708115,1.5599020952255394,0.0,0.0,0.0,1.0
1732085362629558803,4792,1732085362629066228,map,11.934636883577555,-4.150312248284203,1.5170376243327721,0.0,0.0,0.0,1.0
1732085362729041662,4793,1732085362728953599,map,11.82361922155654,-4.168795674479717,1.548983021818992,0.0,0.0,0.0,1.0
1732085362829084260,4794,1732085362828938722,map,11.702008530468351,-4.2145769170971485,1.641933300480694,0.0,0.0,0.0,1.0
1732085362929010026,4795,1732085362928837776,map,11.59217250962649,-4.233453189489765,1.6343462810314293,0.0,0.0,0.0,1.0
1732085363029324027,4796,1732085363028786897,map,11.512899177390581,-4.186254762431875,1.5685123182967828,0.0,0.0,0.0,1.0
1732085363129502706,4797,1732085363129226446,map,11.408439157558458,-4.190683785870985,1.4592132334421193,0.0,0.0,0.0,1.0
1732085363229495414,4798,1732085363229412078,map,11.307795181568189,-4.172043567442211,1.481940215617047,0.0,0.0,0.0,1.0
1732085363328356729,4799,1732085363327996730,map,11.185748020161409,-4.19474397463742,1.4873088382324071,0.0,0.0,0.0,1.0
1732085363428475573,4800,1732085363427811861,map,11.095151543126137,-4.139494929555813,1.4662759642535805,0.0,0.0,0.0,1.0
1732085363529566345,4801,1732085363529143095,map,10.989484615384173,-4.120244135510466,1.3486429487855616,0.0,0.0,0.0,1.0
1732085363628894615,4802,1732085363628519058,map,10.896816469888014,-4.07062173423589,1.2604653745212897,0.0,0.0,0.0,1.0
1732085363728461380,4803,1732085363728189945,map,10.78908789975398,-4.0639379263744555,1.2473979770081878,0.0,0.0,0.0,1.0
1732085363829025176,4804,1732085363828482151,map,10.692356787376742,-4.037063758156991,1.2521798083673357,0.0,0.0,0.0,1.0
1732085363929252223,4805,1732085363928751707,map,10.600554914278918,-4.003003728985807,1.2151273779645422,0.0,0.0,0.0,1.0
1732085364029039738,4806,1732085364028300762,map,10.511521191647333,-3.964413328665318,1.1507055612003934,0.0,0.0,0.0,1.0
1732085364129601127,4807,1732085364129099369,map,10.396396376063667,-3.989356916868024,1.1863192488263192,0.0,0.0,0.0,1.0
1732085364229936209,4808,1732085364229604005,map,10.266896006022213,-4.045644642873775,1.3059457144691393,0.0,0.0,0.0,1.0
1732085364328288959,4809,1732085364328017234,map,10.136805955948956,-4.108746299911545,1.703397759035799,0.0,0.0,0.0,1.0
1732085364428926021,4810,1732085364428810834,map,10.021897995849868,-4.117911480281924,2.0170639131694132,0.0,0.0,0.0,1.0
1732085364528622912,4811,1732085364528531789,map,9.900559325402655,-4.126001853787843,2.272500894470467,0.0,0.0,0.0,1.0
1732085364628822231,4812,1732085364628219366,map,9.850271424336576,-4.006674386593296,2.0213512741841124,0.0,0.0,0.0,1.0
1732085364728493805,4813,1732085364728055477,map,9.821034137694634,-3.846146915571864,1.7294453895085196,0.0,0.0,0.0,1.0
1732085364828698614,4814,1732085364828322887,map,9.837960941998334,-3.592750101705685,1.3773460071071848,0.0,0.0,0.0,1.0
1732085364928413716,4815,1732085364927884340,map,9.78380066604477,-3.561003971289322,1.3784356453162352,0.0,0.0,0.0,1.0
